state_ut,2020,2021,2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Cognizable Crimes (SLL) (2022),Chargesheeting Rate (2022),16 to 18 Years - Male,16 to 18 Years - Female,16 to 18 Years - Transgender,16 to 18 Years - Total,18 to 30 Years - Male,18 to 30 Years - Female,18 to 30 Years - Transgender,18 to 30 Years - Total,30 to 50 Years - Male,30 to 50 Years - Female,30 to 50 Years - Transgender,30 to 50 Years - Total,50 Years & Above - Male,50 Years & Above - Female,50 Years & Above - Transgender,50 Years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
West Bengal,24307,24323,24036,987.6,24.3,91.8,0.0,0.0,0.0,0.0,697.0,154.0,10.0,861.0,394.0,109.0,3.0,506.0,44.0,13.0,0.0,57.0,1135.0,276.0,13.0,1424.0
Total State(S),2322279,2411785,2236112,13403.0,166.8,92.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman And Nicobar Islands,2060,946,1129,4.0,280.8,99.4,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,67.0,0.0,0.0,67.0,16.0,0.0,0.0,16.0,97.0,0.0,0.0,97.0
Chandigarh,671,594,717,12.2,58.6,96.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,9.0
Dadra And Nagar Haveli And Daman And Diu,92,89,89,12.0,7.4,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Delhi,16878,14485,19845,211.0,94.1,98.2,0.0,0.0,0.0,0.0,145.0,51.0,0.0,196.0,364.0,65.0,2.0,431.0,39.0,6.0,0.0,45.0,548.0,122.0,2.0,672.0
Jammu And Kashmir,3678,4228,4282,135.4,31.6,91.8,0.0,0.0,0.0,0.0,14.0,14.0,0.0,28.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,35.0
Ladakh,16,40,39,3.0,13.0,85.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Lakshadweep,40,39,33,0.7,47.8,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,1215,744,1321,16.2,81.5,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0
Total Ut (S),24650,21165,27455,394.5,69.6,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total All India,2346929,2432950,2263567,13797.5,164.1,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
